Method,Accuracy,Macro_F1,Model_Size_MB,Params_M,Latency_ms_per_img
Original,0.9111779510158984,0.9105795376773455,0.0,23.514179,0.24633618304505944
Pruning,0.9473328831870358,0.9469778108856085,0.0,23.514179,0.2518119988963008
Quantization,0.918666748511448,0.9185464354471473,0.0,23.514179,0.24779957602731884
Pruning+Quantization(+Huffman),0.9235160518077467,0.9246198747990763,17.82144069671631,23.514179,0.250865810085088
