class,precision,recall,f1,support
color,0.9176245210727969,0.8858886628444609,0.9014773689658417,5407
segmented,0.9717321997874602,0.8443213296398892,0.9035573122529644,5415
grayscale,0.8561105874960729,0.9965258731029438,0.9209970426700465,5469
