Policy,Top1_Accuracy,Macro_F1,Macro_Precision,Macro_Recall,Best_Val_Acc
no_aug,0.9842858019765515,0.9842216474180191,0.9842697996866706,0.984219073263008,0.9834576312801154
base_aug,0.9860659259713952,0.9860092262233232,0.9861451763632049,0.9860170385097634,0.9859435902157567
base_aug_mixcut,0.9721318519427905,0.9720015582530426,0.9722076121094688,0.9720485831635997,0.9732989595801491
full_aug,0.950708980418636,0.9508104191323151,0.9518263483048259,0.9509278929946196,0.9492373323512261
